19188829,      The Perks of Being a Wallflower,Stephen Chbosky,4.2,12295, young-adult,7590, fiction,4657, contemporary,1673, coming-of-age,1364, romance,1275, realistic-fiction
3597767,      Rok 1984,Artur Sandauer,4.19,35142, classics,22052, fiction,10359, science-fiction,8627, dystopia,2939, literature,2144, novels
32599493,      A Game of Thrones,George R.R. Martin,4.45,45164, fantasy,10281, fiction,1861, epic-fantasy,1520, adult,1479, science-fiction-fantasy,1411, high-fantasy
14640,      The Catcher in the Rye: Annotations and Study Aids,Rudolph F. Rau,3.81,31545, classics,17760, fiction,4093, young-adult,2558, literature,2051, school,1668, novels
17788865,      The Goldfinch,Donna Tartt,3.92,8445, fiction,1792, contemporary,1040, literary-fiction,841, audiobook,635, art,554, adult
7032230,      Thirteen Reasons Why,Jay Asher,3.92,9689, young-adult,3390, contemporary,3072, fiction,1492, realistic-fiction,915, mystery,810, mental-health
6986866,      Breaking Dawn,Stephenie Meyer,3.7,13404, young-adult,12154, fantasy,7509, romance,6148, vampires,4666, fiction,4316, paranormal
5996072,      A Thousand Splendid Suns,Khaled Hosseini,4.38,9252, fiction,4201, historical-fiction,1187, contemporary,748, novels,673, historical,541, war
2326730,      New Moon,Stephenie Meyer,3.54,14662, young-adult,13164, fantasy,8321, romance,6510, vampires,5156, fiction,4621, paranormal
6666060,      The Time Travelers Wife,Audrey Niffenegger,3.98,10153, fiction,5852, romance,3652, fantasy,2798, time-travel,2464, science-fiction,1261, contemporary
18335013,      Paper Towns,John Green,3.8,10242, young-adult,4014, contemporary,3784, fiction,2097, romance,1570, mystery,1117, realistic-fiction
826373,      Life of Pi,Yann Martel,3.92,13298, fiction,2628, fantasy,1899, classics,1527, adventure,1307, contemporary,918, novels
1362104,      The Glass Castle,Julia Gibson,4.28,6585, non-fiction,5881, memoir,1716, biography,721, autobiography,714, biography-memoir,616, book-club
28267274,      Pokoj,Veronika Volhejnová,4.06,7398, fiction,1924, contemporary,840, adult,733, adult-fiction,495, book-club,492, audiobook
25432891,      Cinder,Marissa Meyer,4.14,10843, young-adult,9776, fantasy,6210, science-fiction,3365, romance,3182, dystopia,2438, retellings
1091342,      Sakrileg,Piet van Poll,3.86,17000, fiction,9245, mystery,6967, thriller,1807, suspense,1644, mystery-thriller,1645, historical-fiction
21864196,      Unbroken: A World War II Story of Survival  Resilience  and Redemption,Laura Hillenbrand,4.36,6774, non-fiction,4364, history,3705, biography,1107, world-war-ii,1097, war,844, historical
23698704,      Fangirl,Carla Wiberg,4.05,9562, young-adult,5982, contemporary,5533, romance,2995, fiction,1060, realistic-fiction,1008, new-adult
7932736,      The Guernsey Literary and Potato Peel Pie Society,Annie Barrows,4.17,8574, historical-fiction,6194, fiction,1618, historical,1414, romance,941, world-war-ii,750, book-club
12379917,      The Handmaids Tale,Margaret Atwood,4.11,16219, fiction,7375, dystopia,3865, science-fiction,3624, feminism,1618, classics,1594, fantasy
8316723,      The Host,Stephenie Meyer,3.84,4485, young-adult,4258, science-fiction,4129, fantasy,3108, romance,2704, fiction,1844, dystopia
3254246,      The Road,Cormac McCarthy,3.97,10197, fiction,2771, science-fiction,2296, dystopia,1980, post-apocalyptic,1297, classics,1293, horror
25413486,      The Nightingale,Kristin Hannah,4.57,10905, historical-fiction,4726, fiction,1707, historical,1219, world-war-ii,969, war,859, audiobook
12651476,      Enders Game,Orson Scott Card,4.3,15607, science-fiction,7708, fiction,4732, young-adult,2898, fantasy,1923, classics,1569, science-fiction-fantasy
18038911,      The Ocean at the End of the Lane,Neil Gaiman,4,15674, fantasy,6784, fiction,1763, horror,1755, magical-realism,1190, audiobook,1005, young-adult
13429654,      The Hobbit,J.R.R. Tolkien,4.27,51645, fantasy,17421, classics,14687, fiction,3225, adventure,2728, young-adult,1782, science-fiction-fantasy
24628887,      A Man Called Ove,George Newbern,4.35,7672, fiction,1851, contemporary,1237, audiobook,1064, humor,664, book-club,656, adult
23400821,      We Were Liars,Ariadne Meyers,3.84,7439, young-adult,3486, contemporary,3078, mystery,2646, fiction,1293, romance,678, realistic-fiction
706072,      Outlander,Diana Gabaldon,4.23,11084, historical-fiction,7629, romance,6907, fantasy,5170, fiction,3518, time-travel,3310, historical
8349198,      Animal Farm,George Orwell,3.95,32101, classics,18395, fiction,3768, dystopia,3021, fantasy,2701, literature,2512, politics
870376,      The Lovely Bones,Alice Sebold,3.82,10206, fiction,3118, mystery,2106, young-adult,1567, contemporary,1277, fantasy,865, crime
22319631,      De Selectie,Hanneke van Soest,4.13,8169, young-adult,6327, romance,5248, dystopia,2831, fantasy,1579, fiction,750, science-fiction
12368684,      The Curious Incident of the Dog in the Night-time,Mark Haddon,3.88,12478, fiction,3407, mystery,3016, young-adult,2172, contemporary,850, novels,800, classics
13527888,      Bossypants,Tina Fey,3.95,8282, non-fiction,4853, memoir,4511, humor,2954, biography,2044, audiobook,1574, comedy
7806071,      Se Eu Ficar,Rita Graña,3.94,8122, young-adult,3517, romance,3314, contemporary,2249, fiction,817, realistic-fiction,514, teen
2650712,      Eclipse,Stephenie Meyer,3.7,14102, young-adult,12653, fantasy,7920, romance,6295, vampires,4928, fiction,4497, paranormal
12262742,      Wild: From Lost to Found on the Pacific Crest Trail,Bernadette Dunne,4.01,6532, non-fiction,4760, memoir,2026, travel,1443, biography,944, adventure,675, audiobook
17212300,      Inferno,Paul Michael,3.85,4980, fiction,3115, thriller,2975, mystery,715, mystery-thriller,704, suspense,683, historical-fiction
25739649,      The Art of Racing in the Rain,Christopher Evan Welch,4.21,4714, fiction,963, animals,730, contemporary,677, dogs,393, adult-fiction,385, audiobook
22110278,      Big Little Lies,Liane Moriarty,4.27,5296, fiction,2950, mystery,1649, contemporary,1318, chick-lit,839, audiobook,808, adult
20860763,      Jane Eyre,F.H. Townsend,4.13,38595, classics,11042, fiction,6606, romance,2350, historical-fiction,1965, literature,1934, gothic
16280156,      Fahrenheit 451,Ray Bradbury,3.99,22856, classics,13844, fiction,10790, science-fiction,5996, dystopia,1573, school,1540, literature
18761052,      O Projeto Rosie,Graeme Simsion,4.02,5482, fiction,3579, romance,1701, contemporary,1399, humor,907, chick-lit,678, adult
25053847,      Red Queen,Victoria Aveyard,4.04,11598, fantasy,6934, young-adult,2859, dystopia,2058, romance,1589, fiction,875, young-adult-fantasy
3126034,      The Girl Who Played with Fire,Stieg Larsson,4.24,7892, fiction,6155, mystery,4329, thriller,2807, crime,1206, mystery-thriller,1002, suspense
25110912,      11/22/63,Stephen King,4.31,5078, fiction,3630, historical-fiction,2288, science-fiction,1835, time-travel,1332, fantasy,1189, horror
3147278,      My Sisters Keeper,Jodi Picoult,4.08,5869, fiction,1515, contemporary,909, chick-lit,694, young-adult,653, drama,625, adult
9676800,      Die Auswahl,Stefanie Schäfer,3.66,7940, young-adult,6073, dystopia,3340, romance,1827, science-fiction,1580, fiction,1461, fantasy
21969048,      La luce sugli oceani,Alba Mantovani,4.03,3922, fiction,3552, historical-fiction,673, australia,643, historical,549, book-club,396, adult-fiction
17907913,      Il trono di ghiaccio,Sarah J. Maas,4.2,17952, fantasy,7599, young-adult,3076, romance,1545, fiction,1482, magic,1273, young-adult-fantasy
9750325,      The Shack,William Paul Young,3.78,3285, fiction,1689, christian,1075, christian-fiction,777, religion,613, spirituality,408, faith
11127294,      The Name of the Wind,Patrick Rothfuss,4.52,29383, fantasy,4562, fiction,1314, epic-fantasy,1088, high-fantasy,981, magic,890, science-fiction-fantasy
15984419,      Whered You Go  Bernadette,Kathleen Wilhoite,3.89,6124, fiction,1480, humor,1450, contemporary,1076, mystery,799, audiobook,748, chick-lit
17884026,      Dark Places,Mark Deakins,3.93,4604, mystery,4168, fiction,3330, thriller,1494, crime,1287, mystery-thriller,921, suspense
16060238,      American Gods,Neil Gaiman,4.1,21792, fantasy,9239, fiction,2555, urban-fantasy,2344, mythology,1133, audiobook,1101, science-fiction
11173148,      Immortal Life of Henrietta Lacks,Rebecca Skloot,4.07,10815, non-fiction,4678, science,2978, history,2951, biography,792, medicine,728, audiobook
13701736,      The Casual Vacancy,J.K. Rowling,3.3,4733, fiction,1257, contemporary,773, mystery,565, adult,439, adult-fiction,304, drama
6460221,      Sharp Objects,Gillian Flynn,3.98,4967, mystery,4891, fiction,3908, thriller,1661, crime,1405, mystery-thriller,1002, suspense
18601966,      The Husbands Secret,Liane Moriarty,3.94,3780, fiction,1364, mystery,1046, chick-lit,927, contemporary,564, audiobook,518, adult
12628816,      Fifty Shades Darker,E.L. James,3.84,6280, romance,2231, erotica,2004, fiction,1302, bdsm,1240, adult,935, contemporary
18812896,      The Cuckoos Calling,Robert Galbraith,3.87,7499, mystery,4035, fiction,2227, crime,1088, thriller,950, mystery-thriller,875, audiobook
1692840,      Lord Of The Flies,William Golding,3.69,27207, classics,15209, fiction,3586, young-adult,2638, school,2120, literature,1894, dystopia
17902501,      The 5th Wave,Rick Yancey,4.04,5422, young-adult,3289, science-fiction,2942, dystopia,1231, fiction,1220, aliens,1039, fantasy
26073151,      A Court of Thorns and Roses,Sarah J. Maas,4.22,15843, fantasy,4997, young-adult,4887, romance,2800, new-adult,1474, retellings,1372, fiction
13497763,      The Girl Who Kicked the Hornets Nest,Simon Vance,4.22,6833, fiction,4959, mystery,3770, thriller,2417, crime,1083, mystery-thriller,892, suspense
402125,      The Secret Life of Bees,Sue Monk Kidd,4.06,7982, fiction,3067, historical-fiction,886, young-adult,734, classics,599, adult-fiction,572, historical
23642896,      Wuthering Heights,Robert Heindel,3.86,33453, classics,9401, fiction,4906, romance,2020, gothic,1762, literature,1558, historical-fiction
2515804,      Sarahs Key,Tatiana de Rosnay,4.16,5292, historical-fiction,2841, fiction,857, holocaust,789, historical,654, world-war-ii,490, france
997354,      The Pillars of the Earth,Ken Follett,4.32,10064, historical-fiction,5609, fiction,1841, historical,514, fantasy,502, classics,474, medieval
23874708,      Everything  Everything,Nicola Yoon,4.05,5399, young-adult,3495, romance,3219, contemporary,1593, fiction,680, realistic-fiction,416, audiobook
9608155,      Anna and the French Kiss,Stephanie Perkins,4,6206, young-adult,5495, romance,3849, contemporary,1062, chick-lit,935, fiction,552, realistic-fiction
2244832,      Der Teufel von Chicago,Bernhard Robben,3.99,9493, non-fiction,6433, history,2888, true-crime,1097, crime,1030, historical,937, mystery
956240,      Memoirs of a Geisha,Arthur Golden,4.12,10150, fiction,9217, historical-fiction,2221, romance,2162, historical,1803, classics,1618, japan
13082101,      A Discovery of Witches,Deborah Harkness,4,9096, fantasy,2884, fiction,2797, romance,2511, paranormal,1825, vampires,1442, witches
6588385,      Myszy i ludzie,Zbigniew Batko,3.88,26600, classics,12769, fiction,2574, school,2081, historical-fiction,2036, literature,1146, read-for-school
17451122,      Uno splendido disastro,Adria Tissoni,4.09,5631, romance,2956, new-adult,1704, contemporary,1486, young-adult,933, contemporary-romance,718, college
383059,      Illuminati,Axel Merz,3.9,11851, fiction,6929, mystery,5996, thriller,1508, suspense,1407, mystery-thriller,1121, adventure
15792268,      Fifty Shades Freed,E.L. James,3.85,5615, romance,2014, erotica,1695, fiction,1183, bdsm,1085, adult,849, contemporary
36269116,      Orphan Train,Christina Baker Kline,4.17,4907, historical-fiction,2751, fiction,704, historical,464, book-club,310, adult,309, adult-fiction
31130986,      Station Eleven,Emily St. John Mandel,4.05,6286, fiction,3497, science-fiction,2401, dystopia,1495, post-apocalyptic,807, adult,742, audiobook
28636565,      Go Set a Watchman,Harper Lee,3.32,4425, fiction,1753, historical-fiction,1532, classics,499, audiobook,393, historical,315, adult
8719634,      Clockwork Angel,Cassandra Clare,4.32,10852, fantasy,7661, young-adult,2718, paranormal,2702, romance,2464, steampunk,1632, historical-fiction
8125623,      The Lost Symbol,Dan Brown,3.71,6131, fiction,3894, mystery,3540, thriller,911, mystery-thriller,813, suspense,723, adventure
17617027,      And the Mountains Echoed,Khaled Hosseini,4.05,3851, fiction,1531, historical-fiction,486, contemporary,268, adult,265, adult-fiction,261, novels
17797811,      Delirium,Sarah  Drew,3.97,6621, young-adult,5407, dystopia,3100, romance,1346, science-fiction,1239, fantasy,1231, fiction
6599260,      Still Alice,Lisa Genova,4.31,3438, fiction,768, contemporary,391, psychology,345, book-club,314, adult-fiction,304, adult
31289593,      Una corte de niebla y furia,Sarah J. Maas,4.62,11322, fantasy,3694, romance,3071, young-adult,2552, new-adult,1012, fae,990, magic
16179873,      Hija de Humo y Hueso,Laini Taylor,4.01,12092, fantasy,7304, young-adult,3176, romance,2417, paranormal,1755, angels,1627, urban-fantasy
6443015,      City of Ashes,Cassandra Clare,4.16,12659, fantasy,9559, young-adult,3390, paranormal,3045, romance,2521, urban-fantasy,1763, vampires
15771654,      Legend,Ana Isabel Hernández de Deza,4.17,6627, young-adult,5856, dystopia,1919, science-fiction,1817, romance,1653, fantasy,1348, fiction
16090806,      The Outsiders,S.E. Hinton,4.1,8483, classics,7132, young-adult,5310, fiction,1735, school,929, realistic-fiction,903, read-for-school
18698388,      Scarlet,Guillaume Fournier,4.27,7179, young-adult,6599, fantasy,4171, science-fiction,2441, romance,2007, dystopia,1874, retellings
17245747,      Clockwork Princess,Cassandra Clare,4.56,7011, fantasy,4775, young-adult,2233, romance,1754, paranormal,1347, steampunk,1179, historical-fiction
10193699,      The Scorch Trials,James Dashner,3.91,5584, young-adult,4119, dystopia,2370, science-fiction,1633, fiction,1312, fantasy,638, adventure
13135114,      Cutting for Stone,Sunil Malhotra,4.29,3552, fiction,1271, historical-fiction,830, africa,498, book-club,340, medicine,333, ethiopia
7876139,      Ciudad de cristal,Gemma Gallart,4.31,11820, fantasy,8825, young-adult,3063, paranormal,2889, romance,2278, urban-fantasy,1665, vampires
882515,      Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,3.54,9725, fantasy,5517, fiction,546, adult,445, science-fiction-fantasy,439, retellings,418, adult-fiction
17835217,      Never Let Me Go,Kazuo Ishiguro,3.82,7850, fiction,3448, science-fiction,2534, dystopia,928, contemporary,637, literary-fiction,592, novels
10721121,      Night,George Guidall,4.34,8099, non-fiction,5645, classics,4387, history,3632, memoir,2061, holocaust,1995, biography
6987915,      World War Z: An Oral History of the Zombie War,Max Brooks,4.01,5780, horror,4847, fiction,3165, zombies,2613, science-fiction,1248, fantasy,1142, post-apocalyptic
22920028,      De Elite,Kiera Cass,4.02,5679, young-adult,4565, romance,3817, dystopia,1725, fantasy,1080, fiction,469, science-fiction
18589115,      The One,Kiera Cass,4.2,5057, young-adult,4191, romance,3297, dystopia,1561, fantasy,945, fiction,410, science-fiction
6990801,      Hush  Hush,Becca Fitzpatrick,3.96,5466, young-adult,4590, fantasy,3096, romance,2897, paranormal,2669, angels,1003, paranormal-romance
26162617,      A Vida Contada de A. J. Fikry,Gabrielle Zevin,3.99,3911, fiction,1138, contemporary,1019, books-about-books,561, adult,499, adult-fiction,335, romance
18293427,      The Storied Life of A.J. Fikry,Gabrielle Zevin,3.99,3909, fiction,1137, contemporary,1018, books-about-books,561, adult,499, adult-fiction,335, romance
259778,      Three Cups of Tea: One Mans Mission to Promote Peace . . . One School at a Time,Patrick Lawlor,3.65,3987, non-fiction,897, memoir,685, biography,383, travel,341, education,266, book-club
13086115,      Uglies,Scott Westerfeld,3.86,7887, young-adult,4534, dystopia,2965, science-fiction,1957, fiction,1545, fantasy,803, romance
7864897,      The Diary of Anne Frank: Interpretations (Blooms Modern Critical Interpretations),Harold Bloom,4.12,8, non-fiction,7, classics,4, history,4, biography,2, war,2, memoir
5507,      The Diary of Anne Frank,Anne Frank,4.15,14582, non-fiction,14459, classics,6099, history,5706, biography,3708, memoir,2203, historical
11809168,      Shatter Me,Tahereh Mafi,3.95,4901, young-adult,4134, dystopia,2881, fantasy,2583, romance,1045, science-fiction,940, paranormal
15755025,      The Raven Boys,Maggie Stiefvater,4.05,10115, fantasy,7324, young-adult,2974, paranormal,1593, romance,1381, fiction,1079, magic
564341,      Extremely Loud And Incredibly Close,Jonathan Safran Foer,3.97,5560, fiction,1193, contemporary,712, historical-fiction,417, novels,342, adult-fiction,337, adult
11177547,      The Hitchhikers Guide to the Galaxy,Douglas Adams,4.22,14273, science-fiction,10287, fiction,5454, humor,4470, fantasy,4339, classics,1828, comedy
17299838,      Life After Life,Fenella Woolgar,3.76,3838, fiction,3269, historical-fiction,883, fantasy,682, historical,474, time-travel,390, audiobook
22517562,      El teorema Katherine,Noemí Sobregués Arias,3.57,6798, young-adult,2312, contemporary,2233, fiction,1828, romance,750, realistic-fiction,430, teen
27500,      Middlesex,Jeffrey Eugenides,4.01,7402, fiction,1349, historical-fiction,952, contemporary,708, lgbt,551, literary-fiction,518, novels
17118894,      Beautiful Creatures,Margaret Stohl,3.76,5531, young-adult,5379, fantasy,2539, paranormal,2279, romance,1058, fiction,1018, magic
282702,      Frankenstein,Daniel Clowes,3.81,28044, classics,9856, fiction,9403, horror,4819, science-fiction,2403, gothic,2156, fantasy
23901149,      Yes Please,Amy Poehler,3.83,6130, non-fiction,3707, memoir,2893, humor,2245, audiobook,1799, biography,933, comedy
13536832,      Brave New World,Michael York,3.99,18864, classics,13383, fiction,9339, science-fiction,6022, dystopia,1867, literature,1204, novels
6705943,      Shiver,Maggie Stiefvater,3.77,6433, young-adult,5285, fantasy,3154, romance,2673, paranormal,1728, werewolves,1031, fiction
985875,      A Clash Of Kings,George R.R. Martin,4.41,32162, fantasy,6814, fiction,1430, epic-fantasy,1071, science-fiction-fantasy,976, high-fantasy,913, adult
23210623,      Cress,Marissa Meyer,4.43,6021, young-adult,5717, fantasy,3724, science-fiction,2205, romance,1730, retellings,1647, dystopia
20316954,      Mr. Penumbras 24-Hour Bookstore,Robin Sloan,3.74,4848, fiction,1954, mystery,1526, fantasy,1177, books-about-books,910, contemporary,607, audiobook
6577307,      The Picture of Dorian Gray,Oscar Wilde,4.08,27433, classics,10007, fiction,3043, horror,2238, fantasy,1688, literature,1522, gothic
18005628,      Crown of Midnight,Sarah J. Maas,4.42,12093, fantasy,4896, young-adult,2226, romance,1220, magic,918, fiction,900, young-adult-fantasy
12090218,      A Dance with Dragons,Roy Dotrice,4.32,22617, fantasy,4689, fiction,1021, epic-fantasy,759, science-fiction-fantasy,681, high-fantasy,568, dragons
1074901,      Slaughterhouse Five,Kurt Vonnegut Jr.,4.08,13302, classics,12409, fiction,5308, science-fiction,1869, war,1666, historical-fiction,1521, literature
6277770,      The Poisonwood Bible,Barbara Kingsolver,4.07,7153, fiction,3162, historical-fiction,1466, africa,870, classics,495, historical,463, literary-fiction
7047941,      Vampire Academy,Richelle Mead,4.12,6868, young-adult,5454, fantasy,4947, vampires,3659, paranormal,2678, romance,1323, urban-fantasy
24618787,      City of Heavenly Fire,Cassandra Clare,4.43,6446, fantasy,4353, young-adult,1650, romance,1589, paranormal,1089, urban-fantasy,953, vampires
18364429,      The Invention of Wings,Sue Monk Kidd,4.24,4274, historical-fiction,2420, fiction,604, historical,365, book-club,272, audiobook,265, adult-fiction
6264614,      Little Bee,Chris Cleave,3.71,2910, fiction,602, africa,422, historical-fiction,333, book-club,304, contemporary,235, adult-fiction
1754278,      The Boy in the Striped Pyjamas,John Boyne,4.15,5886, historical-fiction,2817, fiction,2343, young-adult,1323, historical,1027, holocaust,848, war
6948139,      Outliers: The Story of Success,Malcolm Gladwell,4.16,9304, non-fiction,2677, psychology,2367, business,1142, self-help,805, sociology,735, science
12690982,      A Storm of Swords,George R.R. Martin,4.53,26813, fantasy,5601, fiction,1213, epic-fantasy,947, science-fiction-fantasy,810, high-fantasy,684, adult
7014640,      Tuesdays with Morrie,Mitch Albom,4.11,4578, non-fiction,1586, memoir,1156, biography,863, inspirational,677, classics,610, philosophy
6986999,      The Thirteenth Tale,Diane Setterfield,3.96,4494, fiction,3166, mystery,1846, historical-fiction,1170, gothic,786, books-about-books,482, adult
10836120,      Is Everyone Hanging Out Without Me? (and Other Concerns),Michael Schur,3.86,5413, non-fiction,3176, humor,3139, memoir,1186, biography,1135, audiobook,922, comedy
13250429,      Before I Go to Sleep,Orlagh Cassidy,3.89,2433, fiction,2331, thriller,2172, mystery,779, suspense,649, mystery-thriller,474, crime
8388981,      Graceling,Kristin Cashore,4.07,15147, fantasy,7175, young-adult,2463, romance,1599, fiction,1110, adventure,914, young-adult-fantasy
17334411,      Hopeless,Colleen Hoover,4.29,3493, romance,2174, new-adult,1644, young-adult,1535, contemporary,501, contemporary-romance,440, fiction
11100298,      City of Fallen Angels,Cassandra Clare,4.12,9042, fantasy,6668, young-adult,2443, paranormal,2302, romance,1692, urban-fantasy,1399, vampires
16111242,      A Feast for Crows,Roy Dotrice,4.14,26143, fantasy,5320, fiction,1164, epic-fantasy,887, science-fiction-fantasy,767, high-fantasy,642, adult
18658803,      The Circle,Dave Eggers,3.43,3307, fiction,1101, science-fiction,934, dystopia,305, contemporary,286, audiobook,240, adult
12195718,      Una moglie a Parigi,Simona Fefè,3.81,4018, historical-fiction,2217, fiction,483, historical,397, romance,349, france,343, book-club
29395172,      Six of Crows,Leigh Bardugo,4.43,17341, fantasy,7193, young-adult,1738, fiction,1201, young-adult-fantasy,1048, adventure,938, magic
34845427,      Speak,Laurie Halse Anderson,4.02,8004, young-adult,2957, fiction,2023, contemporary,1381, realistic-fiction,579, teen,476, mental-health
24738032,      Where She Went,Dan Bitter,4.02,4156, young-adult,2403, romance,1959, contemporary,1008, fiction,526, realistic-fiction,398, music
4548601,      The Magicians,Mark Bramhall,3.52,10602, fantasy,2879, fiction,955, magic,872, urban-fantasy,713, young-adult,469, science-fiction-fantasy
13349,      Eragon,Christopher Paolini,3.9,23718, fantasy,6712, young-adult,3393, fiction,2485, dragons,1237, adventure,1070, magic
10244169,      Lolita,Vladimir Nabokov,3.89,12795, classics,8692, fiction,1434, literature,926, novels,896, russia,640, romance
181132,      And Then There Were None (Ten Little Indians),Agatha Christie,4.26,13371, mystery,7177, classics,5929, fiction,2505, crime,2110, thriller,1637, mystery-thriller
110913,      Anna Karenina,Mona Simpson,4.06,18913, classics,7277, fiction,1742, russia,1731, romance,1509, historical-fiction,1414, literature
13632067,      O Gosto Proibido do Gengibre ,Vasco Gato,4.02,3477, historical-fiction,2291, fiction,448, historical,405, romance,368, world-war-ii,366, book-club
18049085,      To All The Boys Ive Loved Before,Jenny Han,4.15,6266, young-adult,5479, romance,4372, contemporary,1529, fiction,735, audiobook,624, chick-lit
21853060,      Clockwork Prince,Cassandra Clare,4.43,7705, fantasy,5368, young-adult,2229, romance,1956, paranormal,1606, steampunk,1276, historical-fiction
28749536,      Winter,Marissa Meyer,4.44,5130, fantasy,4925, young-adult,3022, science-fiction,1942, romance,1513, retellings,1187, dystopia
8674492,      Si no despierto,Lauren Oliver,3.9,4918, young-adult,1857, contemporary,1217, fiction,1171, romance,794, fantasy,360, realistic-fiction
526663,      Memory Keepers Daughter,Kim Edwards,3.68,4253, fiction,502, contemporary,362, adult-fiction,320, adult,285, historical-fiction,282, book-club
6936476,      Dracula,Dacre Stoker,4,20395, classics,11198, horror,7063, fiction,4627, fantasy,2965, vampires,2164, gothic
11817224,      What Alice Forgot,Liane Moriarty,4.08,2959, fiction,995, chick-lit,662, contemporary,461, romance,301, adult,300, audiobook
